ac,floored charge rate,sd/a
6.532786885,5,0.000452111
6.532786885,5,0.00047831
6.528688525,5,0.000369328
6.524590164,5,0.000434773
6.524590164,5,0.000484552
6.524590164,5,0.000523154
6.520491803,5,0.000756522
6.520491803,5,0.000890777
6.512295082,5,0.001109054
6.512295082,5,0.001103162
6.512295082,5,0.001063387
6.508196721,5,0.00105717
6.504098361,5,0.001032351
6.504098361,5,0.000812373
6.495901639,5,0.000969147
6.495901639,5,0.000901748
6.495901639,5,0.000952567
6.487704918,5,0.00125685
6.483606557,5,0.001455013
6.483606557,5,0.001454754
6.479508197,5,0.001497863
6.475409836,5,0.001430814
6.471311475,5,0.00152859
6.463114754,5,0.001660561
6.463114754,5,0.001452531
6.463114754,5,0.001392853
6.459016393,5,0.001393515
6.459016393,5,0.001194703
6.446721311,5,0.001133237
6.446721311,5,0.000990119
6.43852459,5,0.001087249
6.43442623,5,0.001353012
6.426229508,5,0.001688657
6.426229508,5,0.001736353
6.418032787,5,0.002309171
6.409836066,5,0.002691964
6.405737705,5,0.002947677
6.397540984,5,0.00303114
6.397540984,5,0.002933112
6.385245902,5,0.002688548
6.381147541,5,0.002435942
6.381147541,5,0.001626354
6.37295082,5,0.001479685
6.364754098,5,0.001629819
6.356557377,5,0.001880037
6.348360656,5,0.002301191
6.340163934,5,0.002619205
6.340163934,5,0.002667779
6.331967213,5,0.002736305
6.323770492,5,0.002622773
6.323770492,5,0.00240853
6.307377049,5,0.002610442
6.307377049,5,0.002574478
6.299180328,5,0.00266073
6.286885246,5,0.00299621
6.282786885,5,0.002964628
6.278688525,5,0.00272245
6.274590164,5,0.00248249
6.262295082,5,0.002248822
6.258196721,5,0.002335703
6.25,5,0.00228088
6.25,5,0.002091078
6.245901639,5,0.002284486
6.237704918,5,0.002530901
6.237704918,5,0.002351668
6.233606557,5,0.002022539
6.229508197,5,0.001929423
6.225409836,5,0.001782184
6.217213115,5,0.001895377
6.217213115,5,0.001639761
6.213114754,5,0.001563581
6.204918033,5,0.001786534
6.200819672,5,0.001845512
6.200819672,5,0.001816168
6.18852459,5,0.002054188
6.18852459,5,0.00203468
6.180327869,5,0.002240089
6.176229508,5,0.00223044
6.176229508,5,0.002003604
6.168032787,5,0.002003471
6.163934426,5,0.001941446
6.159836066,5,0.001728847
6.151639344,5,0.001942482
6.151639344,5,0.001811592
6.147540984,5,0.001812797
6.139344262,5,0.001946684
6.135245902,5,0.001865183
6.135245902,5,0.001761436
6.12704918,5,0.00178293
6.118852459,5,0.001913575
6.114754098,5,0.002111052
6.106557377,5,0.002253828
6.106557377,5,0.002146677
6.102459016,5,0.002131445
6.094262295,5,0.002207195
6.090163934,5,0.001942485
6.090163934,5,0.001641665
6.077868852,5,0.00177992
6.077868852,5,0.001711289
6.06557377,5,0.002085199
6.06147541,5,0.00222059
6.06147541,5,0.002289145
6.057377049,5,0.002411855
6.049180328,5,0.002517938
6.045081967,5,0.002318451
6.040983607,5,0.002316449
6.040983607,5,0.001980209
6.032786885,5,0.002040926
6.028688525,5,0.002029601
6.020491803,5,0.002127673
6.020491803,5,0.001983097
6.016393443,5,0.001951951
6.008196721,5,0.001949698
6.008196721,5,0.001788191
6,5,0.001658899
6,5,0.001533172
5.995901639,5,0.001421921
5.991803279,5,0.001509823
5.991803279,5,0.001301186
5.983606557,5,0.001284678
5.983606557,5,0.001253545
5.979508197,5,0.001128691
5.975409836,5,0.001254396
5.971311475,5,0.001154612
5.971311475,5,0.001043119
5.967213115,5,0.001053778
5.963114754,5,0.00089999
5.959016393,5,0.001049717
5.954918033,5,0.001152022
5.954918033,5,0.001186423
5.954918033,5,0.001204708
5.946721311,5,0.00132548
5.946721311,5,0.001205952
5.946721311,5,0.001036703
5.93852459,5,0.001237197
5.93442623,5,0.001464539
5.93442623,5,0.001571131
5.926229508,5,0.001757887
5.926229508,5,0.001653069
5.926229508,5,0.00161338
5.922131148,5,0.001488174
5.922131148,5,0.001041003
5.913934426,5,0.0011357
5.913934426,5,0.001154849
5.913934426,5,0.000974568
5.909836066,5,0.001075148
5.909836066,5,0.001043166
5.909836066,5,0.000863698
5.901639344,5,0.000980391
5.901639344,5,0.000864446
5.897540984,5,0.001044794
5.897540984,5,0.001154827
5.897540984,5,0.001101687
5.897540984,5,0.001055655
5.893442623,5,0.000990066
5.893442623,5,0.000694818
5.889344262,5,0.000763679
5.889344262,5,0.000679353
5.889344262,5,0.000643825
5.885245902,5,0.000737786
